athlete,engine,errors,key_output,scope,skipped,status,successes,warning
ADRIAN,fit_parser,0,,activity,0,success,11,
ADRIAN,data_quality_engine,0,,activity,0,success,11,
ADRIAN,power_engine,0,,activity,0,success,11,
ADRIAN,interval_detector,0,,activity,0,success,11,
ADRIAN,durability_engine,0,,activity,0,success,11,
ADRIAN,np_drift,0,,activity,0,success,11,
ADRIAN,hourly_decay_curve,0,,activity,0,success,11,
ADRIAN,zones_engine,0,,activity,0,success,11,
ADRIAN,workout_summary,0,,activity,0,success,11,
ADRIAN,mmp_quality,0,,athlete,0,success,0,
ADRIAN,mmp_aggregator,0,"{""mmp_points"": 21}",athlete,0,success,11,
ADRIAN,metabolic_profiler,0,"{""vo2max"": 56.2, ""vlamax"": 0.2996, ""mlss"": 300.0}",athlete,0,success,0,
ADRIAN,coggan_classifier,0,"{""phenotype_code"": ""PURSUITER"", ""phenotype_description"": ""Pursuiter / GC type. Strongest at VO\u2082max-range efforts (3\u20138 min). Suited to short climbs, breakaways, prologue TTs."", ""average_tier_score"": 1.2, ""n_durations_used"": 4}",athlete,0,success,0,
ADRIAN,efforts_analyzer,0,"{""efforts"": 9}",athlete,0,success,0,
ADRIAN,chart_builder,0,line_scatter,athlete,0,success,0,
ADRIAN,metabolic_flexibility_engine,0,"{""mfi"": 0.65, ""fat_ox"": 0.2}",athlete,0,success,0,
ADRIAN,cross_validation_engine,0,"{""tier"": ""MODEL"", ""coherent"": true, ""checks_performed"": [""aerobic_floor"", ""threshold_band""], ""warnings"": [""Model MLSS (300W) is slightly above sustained power (265W) (+13%). Consider a validation ride if precision matters.""], ""threshold_coherence"": {""observed_watts"": 265.0, ""predicted_watts"": 300.0, ""error_watts"": 35.0, ""error_pct"": 13.2}, ""coherence_penalty"": 0.1, ""suspected_outlier"": null, ""severity"": ""mild"", ""recommended_action"": ""Minor mismatch \u2014 confirm with a fresh maximal steady effort if threshold zones drive training.""}",athlete,0,success,0,
ADRIAN,bayesian_profiler,0,"{""confidence"": 0.303}",athlete,0,success,0,
ADRIAN,metabolic_kalman,0,"{""date"": ""2026-04-17"", ""vo2max"": 58.3, ""vo2max_std"": 5.27, ""vo2max_ci95"": [47.9, 68.6], ""vlamax"": 0.3042, ""vlamax_std"": 0.1536, ""mlss_watts"": null, ""fatmax_watts"": null, ""map_watts"": null, ""observation_applied"": false, ""stimulus_applied"": {""vo2max_min"": 62.2, ""vlamax_min"": 28.4, ""vo2_decay"": -0.0, ""vla_decay"": -0.0, ""vo2_adapt"": 0.29, ""vla_adapt"": 0.0009}}",athlete,0,success,0,
ADRIAN,training_variability_engine,0,"{""acwr"": 4.15, ""monotony"": 0.62}",athlete,0,success,0,
ADRIAN,detraining_engine,0,"{""ctl"": 59.3, ""atl"": 246.3, ""tsb"": -187.0, ""days_since_last_workout"": 0, ""status"": ""IMPROVING""}",athlete,0,success,0,
